Designator,Mid X,Mid Y,Rotation,Layer
U40,440.6,-635.6,90.0,top
U400,440.6,-434.0,90.0,top
U401,440.6,-422.8,90.0,top
U402,440.6,-411.6,90.0,top
U403,429.4,-467.6,270.0,top
U404,429.4,-456.400001,270.0,top
U405,429.4,-445.2,270.0,top
U406,429.4,-434.0,270.0,top
U407,429.4,-422.8,270.0,top
U408,429.4,-411.6,270.0,top
U409,418.2,-467.6,90.0,top
U41,440.6,-624.4,90.0,top
U410,418.2,-456.400001,90.0,top
U411,418.2,-445.200001,90.0,top
U412,418.2,-434.0,90.0,top
U413,418.2,-422.8,90.0,top
U414,418.2,-411.6,90.0,top
U415,407.0,-467.6,270.0,top
U416,407.0,-456.400001,270.0,top
U417,407.0,-445.200001,270.0,top
U418,407.0,-434.0,270.0,top
U419,407.0,-422.8,270.0,top
U42,440.6,-613.2,90.0,top
U420,407.0,-411.6,270.0,top
U421,463.0,-411.6,90.0,top
U422,463.0,-422.8,90.0,top
U423,463.0,-434.0,90.0,top
U424,463.0,-445.2,90.0,top
U425,463.0,-456.4,90.0,top
U426,463.0,-467.6,90.0,top
U427,474.2,-411.6,270.0,top
U428,474.2,-422.8,270.0,top
U429,474.2,-434.0,270.0,top
U43,429.4,-669.2,270.0,top
U430,474.2,-445.2,270.0,top
U431,474.2,-456.4,270.0,top
U432,474.2,-467.6,270.0,top
U433,485.4,-411.6,90.0,top
U434,485.4,-422.799999,90.0,top
U435,485.4,-434.0,90.0,top
U436,485.4,-445.2,90.0,top
U437,485.4,-456.4,90.0,top
U438,485.4,-467.6,90.0,top
U439,496.6,-411.6,270.0,top
U44,429.4,-658.000001,270.0,top
U440,496.6,-422.799999,270.0,top
U441,496.6,-433.999999,270.0,top
U442,496.6,-445.2,270.0,top
U443,496.6,-456.4,270.0,top
U444,496.6,-467.6,270.0,top
U445,507.8,-411.6,90.0,top
U446,507.8,-422.799999,90.0,top
U447,507.8,-433.999999,90.0,top
U448,507.8,-445.2,90.0,top
U449,507.8,-456.4,90.0,top
U45,429.4,-646.8,270.0,top
U450,507.8,-467.6,90.0,top
U451,519.0,-411.6,90.0,top
U452,519.0,-422.8,90.0,top
U453,519.0,-434.0,90.0,top
U454,519.0,-445.2,90.0,top
U455,519.0,-456.4,90.0,top
U456,519.0,-467.6,90.0,top
U457,530.2,-411.6,270.0,top
U458,530.2,-422.8,270.0,top
U459,530.2,-434.0,270.0,top
U46,429.4,-635.6,270.0,top
U460,530.2,-445.2,270.0,top
U461,530.2,-456.4,270.0,top
U462,530.2,-467.6,270.0,top
U463,541.4,-411.6,90.0,top
U464,541.4,-422.799999,90.0,top
U465,541.4,-434.0,90.0,top
U466,541.4,-445.2,90.0,top
U467,541.4,-456.4,90.0,top
U468,541.4,-467.6,90.0,top
U469,552.6,-411.6,270.0,top
U47,429.4,-624.4,270.0,top
U470,552.6,-422.799999,270.0,top
U471,552.6,-433.999999,270.0,top
U472,552.6,-445.2,270.0,top
U473,552.6,-456.4,270.0,top
U474,552.6,-467.6,270.0,top
U475,563.8,-411.6,90.0,top
U476,563.8,-422.799999,90.0,top
U477,563.8,-433.999999,90.0,top
U478,563.8,-445.2,90.0,top
U479,563.8,-456.4,90.0,top
U48,429.4,-613.2,270.0,top
U480,563.8,-467.6,90.0,top
U481,619.8,-400.4,270.0,top
U482,619.8,-389.2,270.0,top
U483,619.8,-378.0,270.0,top
U484,619.8,-366.8,270.0,top
U485,619.8,-355.6,270.0,top
U486,619.8,-344.4,270.0,top
U487,608.6,-400.4,90.0,top
U488,608.6,-389.2,90.0,top
U489,608.6,-378.0,90.0,top
U49,418.2,-669.2,90.0,top
U490,608.6,-366.8,90.0,top
U491,608.6,-355.6,90.0,top
U492,608.6,-344.4,90.0,top
U493,597.4,-400.4,270.0,top
U494,597.4,-389.200001,270.0,top
U495,597.4,-378.0,270.0,top
U496,597.4,-366.8,270.0,top
U497,597.4,-355.6,270.0,top
U498,597.4,-344.4,270.0,top
U499,586.2,-400.4,90.0,top
U5,619.8,-624.4,270.0,top
U50,418.2,-658.000001,90.0,top
U500,586.2,-389.200001,90.0,top
U501,586.2,-378.000001,90.0,top
U502,586.2,-366.8,90.0,top
U503,586.2,-355.6,90.0,top
U504,586.2,-344.4,90.0,top
U505,575.0,-400.4,270.0,top
U506,575.0,-389.200001,270.0,top
U507,575.0,-378.000001,270.0,top
U508,575.0,-366.8,270.0,top
U509,575.0,-355.6,270.0,top
U51,418.2,-646.800001,90.0,top
U510,575.0,-344.4,270.0,top
U511,451.8,-400.4,270.0,top
U512,451.8,-389.2,270.0,top
U513,451.8,-378.0,270.0,top
U514,451.8,-366.8,270.0,top
U515,451.8,-355.6,270.0,top
